mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__class_weight,param_lr__max_iter,param_lr__penalty,param_lr__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.983516883850098,3.3916952593027574,0.01508016586303711,0.011654779046165811,0.001,balanced,500,l2,saga,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'lr__max_iter': 500, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.29257445509779395,0.2999694007645212,0.29399666821357573,0.3104769728473624,0.2785740515078374,0.29511830968621816,0.01040060933965505,17
12.075623846054077,7.065747382905959,0.011776876449584962,0.0054836953250151105,0.001,balanced,1000,l2,saga,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'lr__max_iter': 1000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.28814910390469833,0.31667967555910814,0.31954208355682717,0.283874824950033,0.3296866430302497,0.3075864662001833,0.01818842512437894,14
24.040615844726563,14.490165643685412,0.01216592788696289,0.004141756360345648,0.001,balanced,2000,l2,saga,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'lr__max_iter': 2000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.30445660103159927,0.3272513469843077,0.31747266417777537,0.23186817112140892,0.3319204190765573,0.3025938404783297,0.03659237739451443,16
5.8938675880432125,3.2722576287385143,0.009860038757324219,0.005490146189193979,0.01,balanced,500,l2,saga,"{'lr__C': 0.01, 'lr__class_weight': 'balanced', 'lr__max_iter': 500, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3240944361637841,0.3016782776042035,0.3204193637156616,0.2867549360699533,0.34762465454263874,0.31611433361924823,0.020714678772186884,7
11.763778066635131,6.979409441083734,0.00828399658203125,0.004515045141397673,0.01,balanced,1000,l2,saga,"{'lr__C': 0.01, 'lr__class_weight': 'balanced', 'lr__max_iter': 1000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.30527317224875977,0.3063529319834896,0.3207168390059916,0.27859356859437867,0.350298665208419,0.31224703540820775,0.023390575685839087,9
23.946336030960083,13.847927411998176,0.01292872428894043,0.0063376232388297335,0.01,balanced,2000,l2,saga,"{'lr__C': 0.01, 'lr__class_weight': 'balanced', 'lr__max_iter': 2000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.31992290867207956,0.29919629748988436,0.31230582566636467,0.3066612062225892,0.33399707320076377,0.31441666225033627,0.011916152695969786,8
6.237197971343994,3.329479775228612,0.014751911163330078,0.008476818073518516,0.1,balanced,500,l2,saga,"{'lr__C': 0.1, 'lr__class_weight': 'balanced', 'lr__max_iter': 500, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3262167934169025,0.3023749267207481,0.3182851038446721,0.2981021624283967,0.33666189493683524,0.31632817626951093,0.014435755490936683,5
11.450529289245605,6.761806505314978,0.009032201766967774,0.005671345893606929,0.1,balanced,1000,l2,saga,"{'lr__C': 0.1, 'lr__class_weight': 'balanced', 'lr__max_iter': 1000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.2946369026282815,0.2821189269151337,0.3115173121421478,0.2966443621076969,0.35886681571929585,0.3087568639025111,0.02673683989787429,13
23.55094108581543,13.811800862018282,0.018732643127441405,0.011181031009970826,0.1,balanced,2000,l2,saga,"{'lr__C': 0.1, 'lr__class_weight': 'balanced', 'lr__max_iter': 2000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.31584953157569146,0.26847434500087364,0.3199510240878371,0.29977178661685827,0.23880065280793328,0.2885694680178387,0.030774160614234637,18
5.951471757888794,3.436760311000027,0.008968639373779296,0.006918830480748699,1.0,balanced,500,l2,saga,"{'lr__C': 1, 'lr__class_weight': 'balanced', 'lr__max_iter': 500, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.31506774680654004,0.30846656156796565,0.312268439303848,0.29128790467156823,0.3544143305028369,0.3163009965705518,0.02077229782513383,6
11.656808185577393,7.070006797315733,0.01082296371459961,0.0033999187654919125,1.0,balanced,1000,l2,saga,"{'lr__C': 1, 'lr__class_weight': 'balanced', 'lr__max_iter': 1000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.31448398823172,0.29688171947285796,0.32013709509625043,0.2867399660819687,0.34256024565425963,0.3121606029074113,0.019353624372491832,10
23.133441638946532,13.510565912472643,0.013621330261230469,0.008937161783130632,1.0,balanced,2000,l2,saga,"{'lr__C': 1, 'lr__class_weight': 'balanced', 'lr__max_iter': 2000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3336797876986444,0.30321219938710314,0.3177656914569362,0.3133822806286574,0.2673918363192645,0.3070863590981211,0.02214299647467559,15
6.130044460296631,3.6751415485436305,0.007030391693115234,0.0033394046636235158,10.0,balanced,500,l2,saga,"{'lr__C': 10, 'lr__class_weight': 'balanced', 'lr__max_iter': 500, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.31745852216088405,0.31143794673079217,0.29979909249003756,0.2919940058017474,0.3273005218897689,0.309598017814646,0.01252574703553422,12
11.917200803756714,6.908827666203136,0.016074275970458983,0.009637827178450364,10.0,balanced,1000,l2,saga,"{'lr__C': 10, 'lr__class_weight': 'balanced', 'lr__max_iter': 1000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3114481387080812,0.30806617695282246,0.3182810595410747,0.30505594510279216,0.35352977046503503,0.3192762181539611,0.01768307780780436,4
22.179636764526368,12.545015699911433,0.009096002578735352,0.0048536866139932845,10.0,balanced,2000,l2,saga,"{'lr__C': 10, 'lr__class_weight': 'balanced', 'lr__max_iter': 2000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.33220399251026106,0.31018368384330813,0.3221369733339648,0.29430567795143603,0.34266216984639736,0.32029849949707345,0.016871222653039888,3
5.790304660797119,3.4217425280578557,0.008434629440307618,0.009244135873302849,100.0,balanced,500,l2,saga,"{'lr__C': 100, 'lr__class_weight': 'balanced', 'lr__max_iter': 500, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.313710677072301,0.2774630296884278,0.3017907003248049,0.299910537524878,0.3654000639966923,0.3116550017214208,0.029315816048451245,11
11.226839351654053,6.114165506176711,0.010890817642211914,0.005197109364591299,100.0,balanced,1000,l2,saga,"{'lr__C': 100, 'lr__class_weight': 'balanced', 'lr__max_iter': 1000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.3161293069474768,0.31169136860925056,0.3170742426967734,0.31447660771490976,0.35204682675197224,0.3222836705440766,0.014993377788397684,2
16.215076208114624,6.728247359259633,0.0115386962890625,0.0033390932952220543,100.0,balanced,2000,l2,saga,"{'lr__C': 100, 'lr__class_weight': 'balanced', 'lr__max_iter': 2000, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.320953309649241,0.3063311073914889,0.3179751636174884,0.32103430605473277,0.3509152854097068,0.32344183442453156,0.014761036052766227,1
