mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.352420711517334,3.0598429017407187,0.08420610427856445,0.008628320202372789,200,10,6,log2,24,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 24, 'class_weight': 'balanced'}",0.33096668487165487,0.4986133014302028,0.33164368379934955,0.33217239878101873,0.3283056258945282,0.3643403389553509,0.06714964991345361,31
5.011472415924072,1.8965009898974512,0.057888364791870116,0.01769733208652032,150,5,2,sqrt,24,balanced,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 24, 'class_weight': 'balanced'}",0.33109497552364836,0.4986678266543418,0.33164368379934955,0.3321906005695525,0.32836149485387195,0.3643917162801528,0.06715097780766158,23
6.201439332962036,3.1424576755584432,0.0884185791015625,0.015054727389465184,200,10,6,sqrt,24,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 24, 'class_weight': 'balanced'}",0.33096668487165487,0.4986133014302028,0.33164368379934955,0.33217239878101873,0.3283056258945282,0.3643403389553509,0.06714964991345361,31
5.023284196853638,2.58762245838671,0.08324632644653321,0.023918806374243668,150,5,2,sqrt,18,balanced,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 18, 'class_weight': 'balanced'}",0.33109497552364836,0.4986678266543418,0.33162542243540827,0.3434899112187248,0.3283056258945282,0.36663675234533033,0.0662212461586507,11
4.948529863357544,2.210029712646078,0.06505193710327148,0.0057324865111670585,150,10,4,log2,18,balanced,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 18, 'class_weight': 'balanced'}",0.33109497552364836,0.49864056552474173,0.33164368379934955,0.3321359892601865,0.33351285192526525,0.3654056132066383,0.06662230310400928,18
5.826498985290527,2.6707168173747458,0.07945003509521484,0.014545828766013595,200,5,2,log2,12,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 12, 'class_weight': 'balanced'}",0.3448563137477572,0.34112193106020605,0.35291109240302015,0.34906408435198816,0.38185466139188445,0.3539616165909712,0.014497416568221271,43
5.898768186569214,2.7240959490904024,0.0861814022064209,0.01645452774947668,200,5,6,log2,18,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 18, 'class_weight': 'balanced'}",0.33094834962768765,0.4985314913521157,0.33162542243540827,0.343083028404415,0.3283056258945282,0.366498783542831,0.06621123088689107,15
2.866360330581665,1.3394414666465544,0.047278642654418945,0.007725989931426756,100,15,6,log2,12,balanced,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 12, 'class_weight': 'balanced'}",0.3474608609309051,0.33925517251079507,0.351732176065303,0.346637433056999,0.3849732186516785,0.3540117722431361,0.015992875135862686,41
4.4581921100616455,2.1148833627391683,0.055042171478271486,0.005766379884666466,150,5,6,log2,18,balanced,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 18, 'class_weight': 'balanced'}",0.33670110054599406,0.5167404257423295,0.33162542243540827,0.343083028404415,0.33351285192526525,0.3723325658106824,0.07230879403412603,3
2.9591524600982666,1.4057712580607131,0.04264874458312988,0.004529839347116259,100,5,4,log2,24,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 24, 'class_weight': 'balanced'}",0.3310216785889805,0.49864056552474173,0.33164368379934955,0.33217239878101873,0.32836149485387195,0.3643679643095925,0.06714909534122805,29
